id,year,unit,topic,question_text,question_image,table_headers,option_a,option_b,option_c,option_d,option_e,correct_answer,tagged
2025-01,2025,Our Dynamic Universe,Motion: Equations & Graphs,A car accelerates uniformly from rest and travels a distance of 18 m in 3.0 seconds. The speed of the car at 3.0 seconds is,,,4.0 m/s,6.0 m/s,12 m/s,36 m/s,54 m/s,C,1
2025-02,2025,Our Dynamic Universe,Motion: Equations & Graphs,A ball is thrown vertically upwards and then falls back to its starting position. Which of the following acceleration-time graphs represents the motion of the ball?,,,[IMG]2025_Q02_A.png,[IMG]2025_Q02_B.png,[IMG]2025_Q02_C.png,[IMG]2025_Q02_D.png,[IMG]2025_Q02_E.png,A,1
2025-03,2025,Our Dynamic Universe,"Forces, Energy & Power",A force of 10.0 N pulls a trolley of mass 2.0 kg along a horizontal surface. The total frictional force acting on the trolley is 6.0 N. The acceleration of the trolley is,2025_Q03_Diagram.png,,2.0 m/s²,3.0 m/s²,5.0 m/s²,8.0 m/s²,10.0 m/s²,A,1
2025-04,2025,Our Dynamic Universe,"Forces, Energy & Power",A block of wood of mass 3.5 kg slides down a slope. The block of wood has a constant acceleration of 2.3 m/s² down the slope. The force of friction acting on the block is 6.4 N. The angle of the slope is,2025_Q04_Diagram.png,,2.8°,11°,14°,25°,65°,D,1
2025-05,2025,Our Dynamic Universe,"Forces, Energy & Power",An object is released from rest at a height of 1.6 m above the ground. The mass of the object is 0.20 kg. The maximum speed of the object just before it hits the ground is,,,4.0 m/s,5.6 m/s,13 m/s,16 m/s,31 m/s,B,1
2025-06,2025,Our Dynamic Universe,"Forces, Energy & Power",A ball of mass 0.164 kg is dropped from rest and falls towards the ground. The ball collides with the ground and rebounds upwards. The speed of the ball just before it hits the ground is 4.85 m/s. The ball is in contact with the ground for 0.180 s. The speed of the ball immediately after it rebounds from the ground is 3.96 m/s. The mean force exerted by the ball on the ground during the collision is,,,0.146 N,0.811 N,0.645 N,1.44 N,8.03 N,E,1
2025-07,2025,Our Dynamic Universe,"Collisions, Explosions & Impulse","Two samples of modelling clay, X and Y, have the same shape and mass. Sample X is made of a softer clay than sample Y. The samples are both released from the same height and fall towards the ground. Both samples come to rest when they collide with the ground. A student makes the following statements about the samples colliding with the ground.<br><br>I Sample X comes to rest in less time than sample Y.<br>II The mean force exerted by the ground on sample X is less than the mean force exerted by the ground on sample Y.<br>III The change in momentum of sample X is less than the change in momentum of sample Y.<br><br>Which of these statements is/are correct?",,,I only,II only,I and II only,I and III only,II and III only,B,1
2025-08,2025,Our Dynamic Universe,Special Relativity,The Large Hadron Collider (LHC) is contained in a circular tunnel. A technician working at the LHC measures the length of the tunnel to be 26.7 km. Protons in the tunnel are accelerated to a speed of 0.999c. The length of the tunnel in the frame of reference of the protons is,,,0.844 km,1.19 km,26.7 km,597 km,844 km,B,1
2025-09,2025,Our Dynamic Universe,The Expanding Universe,A student makes the following statements about cosmic microwave background radiation.<br><br>I Cosmic microwave background radiation provides evidence for the Big Bang theory.<br>II Cosmic microwave background radiation reaches the Earth from all directions.<br>III Measurements of the peak wavelength of cosmic microwave background radiation indicate that the average temperature of the Universe was lower in the past than it is now.<br><br>Which of these statements is/are correct?,,,I only,II only,I and II only,II and III only,I/II/III,C,1
2025-10,2025,Particles and Waves,Forces on Charged Particles,A potential difference of 1.2 kV is applied across two parallel metal plates in a vacuum. An electron is released from rest at the negative plate as shown. The speed of the electron just before it reaches the positive plate is,2025_Q10_Diagram.png,,1.9x10⁻¹⁶ m/s,6.5x10⁵ m/s,2.1x10⁷ m/s,4.2x10¹¹ m/s,4.2x10¹⁴ m/s,C,1
